#mjd,i	flux,	err
45842.1	13.8	1.38
46032	13.5	1.35
46038	13.2	1.32
46083	13.9	1.39
46093	13.5	1.35
46149.9	12.6	1.26
46150.9	12.8	1.28
46162.9	12.6	1.26
46165.3	13.0	1.3
46166.9	12.7	1.27
46168.9	12.8	1.28
46177.9	13.7	1.37
46193.2	13.6	1.36
46197.9	13.3	1.33
46199.3	13.3	1.33
46203.2	13.7	1.37
46207.2	13.6	1.36
46209.9	13.5	1.35
46241	13.0	1.3
46250.9	13.5	1.35
46387	13.7	1.37
46387.6	13.3	1.33
46417.5	12.8	1.28
46437.5	13.0	1.3
46495.2	13.8	1.38
46508.4	13.5	1.35
46530.1	14.2	1.42
46531.1	14.0	1.4
46531.2	13.5	1.35
46532.1	13.9	1.39
46548.2	13.4	1.34
46552.2	14.1	1.41
46553.9	13.3	1.33
46554.1	14.1	1.41
46557.1	14.4	1.44
46561.9	13.2	1.32
46563.9	13.0	1.3
46576.2	13.5	1.35
46576.9	13.0	1.3
46590.2	12.5	1.25
46619.2	13.0	1.3
46790.4	13.0	1.3
46847.9	13.5	1.35
46903.2	13.8	1.38
46939.3	13.3	1.33
46946.2	13.5	1.35
46946.3	13.4	1.34
46969.9	13.4	1.34
47067.5	13.0	1.3
47216.3	12.8	1.28
47232.1	13.7	1.37
47237.9	13.4	1.34
47238.3	13.4	1.34
47238.9	13.5	1.35
47262.3	13.2	1.32
47262.9	13.1	1.31
47268.9	13.2	1.32
47271.9	12.9	1.29
47292.2	13.6	1.36
47312.9	13.5	1.35
47314.9	13.4	1.34
47315.9	13.3	1.33
47316.9	13.3	1.33
47324.2	12.4	1.24
47326.9	13.5	1.35
47530.1	13.3	1.33
47557	13.8	1.38
47558	13.9	1.39
47560.9	13.7	1.37
47565.9	13.6	1.36
47566.9	13.5	1.35
47568	13.5	1.35
47584.9	13.5	1.35
47586.9	13.4	1.34
47587.9	13.4	1.34
47589.9	13.5	1.35
47590.9	13.6	1.36
47611.9	13.4	1.34
47612.9	13.4	1.34
47613.9	13.2	1.32
47614.9	13.3	1.33
47615.9	13.2	1.32
47652.9	13.5	1.35
47654.9	13.6	1.36
47683.9	13.2	1.32
47685.9	13.2	1.32
47913.7	13.3	1.33
47925.4	12.5	1.25
47927.9	12.8	1.28
47932.9	13.4	1.34
47936.9	13.5	1.35
47942.9	12.9	1.29
47945.8	12.6	1.26
47947	13.0	1.3
47947.9	13.0	1.3
47950.9	13.0	1.3
47952.9	13.4	1.34
47953.8	13.0	1.3
47963.8	12.9	1.29
47966.9	13.5	1.35
47967.8	12.9	1.29
47967.8	12.9	1.29
47969.9	13.4	1.34
47969.9	13.5	1.35
